TS-010产气量,TS46-02产气量,TS46-03产气量,TS47-04产气量,TS47-05产气量,TS56-01产气量,TS56-02产气量,TS56-03产气量,TS56-04产气量,TS56-08产气量,TS5603D1产气量,TS57-01产气量,TS57-02产气量,TS57-03产气量,TS57-07产气量,TS57-09产气量,TS58-01产气量
1344.77613,2587.40364,3127.33007,3127.33007,1898.71409,1885.16765,0.0,4122.7794,0.0,2502.57588,3454.23595,2012.08079,3067.71557,2607.62581,0.0,0.0,1990.20247
879.818798,2173.29525,2682.50967,2682.50967,1734.74365,1902.81289,0.0,3474.86641,0.0,2666.69248,2056.56898,1960.53234,3875.26832,2311.72819,0.0,0.0,2094.89705
828.122456,1852.5863,2352.54146,2352.54146,1310.21377,1940.18592,0.0,3516.38639,0.0,1537.46323,1708.35524,1916.84123,753.012124,2050.43137,0.0,0.0,1664.83276
921.214157,2059.18413,2287.95029,2287.95029,1049.45765,1441.95701,0.0,3080.50334,0.0,1704.92658,1090.66174,1872.65172,1641.08755,1303.33472,0.0,0.0,1705.36056
871.637879,2462.90833,2276.32044,2276.32044,1308.71405,1742.49446,0.0,1215.37504,0.0,2891.22513,850.363587,1833.34699,2161.39553,2861.88245,0.0,0.0,1996.36599
576.093257,1766.94286,1256.29057,1256.29057,1038.33488,1808.41834,0.0,1235.19812,0.0,2896.26412,1534.21191,1794.83616,3504.89642,2445.15232,0.0,0.0,2186.02175
487.288282,1768.73545,1743.27777,1743.27777,1338.37258,1727.76733,0.0,2395.1128,0.0,3323.19968,1477.38556,1785.98117,3886.61855,2060.39314,0.0,0.0,1746.71655
1172.23974,1613.99306,2124.6002,2124.6002,898.298384,1451.78841,0.0,2933.61642,0.0,3860.2846,1828.50996,1667.52055,4399.29869,1963.73231,0.0,0.0,2474.75884
744.362539,1425.68098,1128.16709,1128.16709,770.67169,1665.81748,0.0,2629.85853,0.0,2502.99762,971.865875,3170.65971,3579.22729,1799.00326,0.0,0.0,2097.8626
539.897307,1299.40118,968.189477,968.189477,1249.23019,1480.06263,0.0,2258.67722,0.0,950.488368,1303.84974,1873.92379,2908.78412,2077.59664,0.0,0.0,1804.68635
420.150164,1448.68772,1234.88401,1234.88401,1643.57244,1521.01871,322.044416,1421.64973,1645.42028,2009.50736,516.632551,2083.54321,2875.95003,1605.03784,5319.7205,0.0,1890.97292
521.123932,1528.2887,1548.48394,1548.48394,2199.38503,1352.05647,317.663676,367.828372,1489.35573,696.468022,0.0,1563.70225,2550.31288,1659.59877,3687.38476,2920.02732,1776.72741
376.120696,1905.17073,2982.92644,2982.92644,1825.19082,1700.78681,0.0,1252.61062,1140.59954,2136.56983,850.626501,3144.06931,2305.69925,1165.62847,2039.50903,2443.7501,1767.92743
408.977251,2366.59605,0.0,0.0,2002.28114,1167.16433,65.1754953,3213.76063,853.241931,2753.93161,320.238136,2397.27843,2554.85996,1045.75856,1880.48024,1679.84797,1312.79901
759.561063,1521.45602,545.589891,545.589891,4019.17956,1459.52851,138.962553,1995.77231,665.76514,3879.11151,572.415794,2485.66096,2564.25755,1086.54986,2033.08073,1648.66655,1144.51909
548.621191,1255.93253,524.849009,524.849009,2917.43353,1379.70664,78.9533527,1664.58728,557.889265,2638.55291,370.231616,2071.96236,2391.08641,1106.12224,1830.4596,1394.46025,1132.64736
351.890105,1791.00793,251.531015,251.531015,3188.70696,429.697056,509.353422,1439.85461,462.581423,1231.77851,490.801232,2074.70367,3684.96353,1413.04737,1443.19065,2222.37274,1071.77752
533.564199,0.0,288.669415,288.669415,2964.79993,263.152285,335.343157,3079.11036,1257.44105,1505.97103,385.904045,1599.33504,2548.4105,1456.17128,1428.78245,2521.16189,1041.26058
452.530322,2364.47702,851.623803,851.623803,2399.02148,677.186578,693.995827,2651.45109,1946.99352,1181.98289,416.554735,1790.58467,3018.12505,1193.92592,1361.96913,2984.82806,1147.09331
742.059008,911.457753,1393.3326,1393.3326,2669.09689,748.354256,354.968548,2375.44941,1181.61841,1845.35731,417.701751,1509.39293,2411.54464,1211.91775,1291.93325,2290.09225,1283.9756
573.162127,2114.39995,891.616983,891.616983,2241.42548,928.082592,352.069232,2050.23414,594.975988,899.818979,311.477548,1623.05601,3021.68979,1269.78855,1224.00967,3101.90594,1519.7533
