time step,TS-010排水量,TS46-02排水量,TS46-03排水量,TS47-04排水量,TS47-05排水量,TS56-01排水量,TS56-02排水量,TS56-03排水量,TS56-04排水量,TS56-08排水量,TS5603D1排水量,TS57-01排水量,TS57-02排水量,TS57-03排水量,TS57-07排水量,TS57-09排水量,TS58-01排水量,TS-010产气量,TS46-02产气量,TS46-03产气量,TS47-04产气量,TS47-05产气量,TS56-01产气量,TS56-02产气量,TS56-03产气量,TS56-04产气量,TS56-08产气量,TS5603D1产气量,TS57-01产气量,TS57-02产气量,TS57-03产气量,TS57-07产气量,TS57-09产气量,TS58-01产气量
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1386.39526367187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971.38317871093,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,949.326904296875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1382.48034667968,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,2254.5263671875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4648.2099609375,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,1164.37890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2237.40307617187,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,965.865844726562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1796.38732910156,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,1540.82507324218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2831.11962890625,0,0,0,0,0
9,1046.91491699218,0,0,0,0,0,0,0,0,0,0,688.507995605468,0,0,0,0,0,1395.6923828125,0,0,0,0,0,0,0,0,0,0,1260.18798828125,0,0,0,0,0
10,767.544128417968,0,0,0,0,0,0,0,0,0,0,977.6103515625,0,0,0,0,0,1066.93969726562,0,0,0,0,0,0,0,0,0,0,1765.66088867187,0,0,0,0,0
11,510.051300048828,0,0,0,0,0,0,0,0,0,0,767.786193847656,0,0,0,0,0,657.989379882812,0,0,0,0,0,0,0,0,0,0,1373.52368164062,0,0,0,0,0
12,642.614501953125,0,0,0,0,0,0,0,0,0,0,648.329467773437,0,0,0,0,0,824.509704589843,0,0,0,0,0,0,0,0,0,0,1152.43640136718,0,0,0,0,0
