time step,TS-010排水量,TS46-02排水量,TS46-03排水量,TS47-04排水量,TS47-05排水量,TS56-01排水量,TS56-02排水量,TS56-03排水量,TS56-04排水量,TS56-08排水量,TS5603D1排水量,TS57-01排水量,TS57-02排水量,TS57-03排水量,TS57-07排水量,TS57-09排水量,TS58-01排水量,TS-010产气量,TS46-02产气量,TS46-03产气量,TS47-04产气量,TS47-05产气量,TS56-01产气量,TS56-02产气量,TS56-03产气量,TS56-04产气量,TS56-08产气量,TS5603D1产气量,TS57-01产气量,TS57-02产气量,TS57-03产气量,TS57-07产气量,TS57-09产气量,TS58-01产气量
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,2463.9130859375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4516.98583984375,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,1116.73986816406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912.4140625,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1673.12963867187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3074.98559570312,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,1669.73767089843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3278.31127929687,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,1379.15234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2628.84716796875,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,993.331970214843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1853.37268066406,0,0,0,0,0
9,835.551635742187,0,0,0,0,0,0,0,0,0,0,1729.51440429687,0,0,0,0,0,904.591003417968,0,0,0,0,0,0,0,0,0,0,3485.486328125,0,0,0,0,0
10,444.902954101562,0,0,0,0,0,0,0,0,0,0,1856.60986328125,0,0,0,0,0,431.847717285156,0,0,0,0,0,0,0,0,0,0,4045.47680664062,0,0,0,0,0
11,759.853942871093,0,0,0,0,0,0,0,0,0,0,837.513854980468,0,0,0,0,0,1027.40783691406,0,0,0,0,0,0,0,0,0,0,1745.43286132812,0,0,0,0,0
12,614.692260742187,0,0,0,0,0,0,0,0,0,0,1006.74041748046,0,0,0,0,0,799.816528320312,0,0,0,0,0,0,0,0,0,0,2069.05590820312,0,0,0,0,0
