time step,TS-010排水量,TS46-02排水量,TS46-03排水量,TS47-04排水量,TS47-05排水量,TS56-01排水量,TS56-02排水量,TS56-03排水量,TS56-04排水量,TS56-08排水量,TS5603D1排水量,TS57-01排水量,TS57-02排水量,TS57-03排水量,TS57-07排水量,TS57-09排水量,TS58-01排水量,TS-010产气量,TS46-02产气量,TS46-03产气量,TS47-04产气量,TS47-05产气量,TS56-01产气量,TS56-02产气量,TS56-03产气量,TS56-04产气量,TS56-08产气量,TS5603D1产气量,TS57-01产气量,TS57-02产气量,TS57-03产气量,TS57-07产气量,TS57-09产气量,TS58-01产气量
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,2233.3349609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3925.39868164062,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,988.257080078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1622.21875,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,2573.10009765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5625.587890625,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,1260.26293945312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2550.07250976562,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,919.450744628906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1805.09973144531,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,1422.52844238281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2692.96313476562,0,0,0,0,0
9,1225.78393554687,0,0,0,0,0,0,0,0,0,0,707.875854492187,0,0,0,0,0,1844.17272949218,0,0,0,0,0,0,0,0,0,0,1315.42333984375,0,0,0,0,0
10,590.902770996093,0,0,0,0,0,0,0,0,0,0,1798.0224609375,0,0,0,0,0,786.441101074218,0,0,0,0,0,0,0,0,0,0,3351.70361328125,0,0,0,0,0
11,606.225769042968,0,0,0,0,0,0,0,0,0,0,814.136962890625,0,0,0,0,0,761.943969726562,0,0,0,0,0,0,0,0,0,0,1493.01574707031,0,0,0,0,0
12,785.696960449218,0,0,0,0,0,0,0,0,0,0,1706.12475585937,0,0,0,0,0,1131.1953125,0,0,0,0,0,0,0,0,0,0,3211.30444335937,0,0,0,0,0
