time step,TS-010排水量,TS46-02排水量,TS46-03排水量,TS47-04排水量,TS47-05排水量,TS56-01排水量,TS56-02排水量,TS56-03排水量,TS56-04排水量,TS56-08排水量,TS5603D1排水量,TS57-01排水量,TS57-02排水量,TS57-03排水量,TS57-07排水量,TS57-09排水量,TS58-01排水量,TS-010产气量,TS46-02产气量,TS46-03产气量,TS47-04产气量,TS47-05产气量,TS56-01产气量,TS56-02产气量,TS56-03产气量,TS56-04产气量,TS56-08产气量,TS5603D1产气量,TS57-01产气量,TS57-02产气量,TS57-03产气量,TS57-07产气量,TS57-09产气量,TS58-01产气量
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1839.31701660156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2970.93481445312,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,1579.10974121093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2819.42260742187,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1727.16528320312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3365.20068359375,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,1719.59362792968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3499.12353515625,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,1404.31469726562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2749.26708984375,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,1385.76904296875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2668.59985351562,0,0,0,0,0
9,1287.67211914062,0,0,0,0,0,0,0,0,0,0,879.160888671875,0,0,0,0,0,2008.26684570312,0,0,0,0,0,0,0,0,0,0,1665.1865234375,0,0,0,0,0
10,756.020080566406,0,0,0,0,0,0,0,0,0,0,1365.39709472656,0,0,0,0,0,1079.18920898437,0,0,0,0,0,0,0,0,0,0,2554.08349609375,0,0,0,0,0
11,411.176025390625,0,0,0,0,0,0,0,0,0,0,1120.95483398437,0,0,0,0,0,558.489013671875,0,0,0,0,0,0,0,0,0,0,2056.79833984375,0,0,0,0,0
12,446.488616943359,0,0,0,0,0,0,0,0,0,0,1912.09716796875,0,0,0,0,0,580.719482421875,0,0,0,0,0,0,0,0,0,0,4122.23486328125,0,0,0,0,0
