time step,TS-010排水量,TS46-02排水量,TS46-03排水量,TS47-04排水量,TS47-05排水量,TS56-01排水量,TS56-02排水量,TS56-03排水量,TS56-04排水量,TS56-08排水量,TS5603D1排水量,TS57-01排水量,TS57-02排水量,TS57-03排水量,TS57-07排水量,TS57-09排水量,TS58-01排水量,TS-010产气量,TS46-02产气量,TS46-03产气量,TS47-04产气量,TS47-05产气量,TS56-01产气量,TS56-02产气量,TS56-03产气量,TS56-04产气量,TS56-08产气量,TS5603D1产气量,TS57-01产气量,TS57-02产气量,TS57-03产气量,TS57-07产气量,TS57-09产气量,TS58-01产气量
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1376.525390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950.59741210937,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,1280.81372070312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2078.49145507812,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1216.86572265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2050.69921875,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,1168.94287109375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.96032714843,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,1905.86645507812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3948.43432617187,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,1553.78344726562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3150.5,0,0,0,0,0
9,1471.62438964843,0,0,0,0,0,0,0,0,0,0,882.472717285156,0,0,0,0,0,2531.064453125,0,0,0,0,0,0,0,0,0,0,1737.33654785156,0,0,0,0,0
10,473.468475341796,0,0,0,0,0,0,0,0,0,0,1176.1494140625,0,0,0,0,0,724.352966308593,0,0,0,0,0,0,0,0,0,0,2267.31201171875,0,0,0,0,0
11,310.785095214843,0,0,0,0,0,0,0,0,0,0,1068.72399902343,0,0,0,0,0,446.216583251953,0,0,0,0,0,0,0,0,0,0,2009.42065429687,0,0,0,0,0
12,552.162475585937,0,0,0,0,0,0,0,0,0,0,1101.63366699218,0,0,0,0,0,729.28369140625,0,0,0,0,0,0,0,0,0,0,2029.8857421875,0,0,0,0,0
