time step,TS-010排水量,TS46-02排水量,TS46-03排水量,TS47-04排水量,TS47-05排水量,TS56-01排水量,TS56-02排水量,TS56-03排水量,TS56-04排水量,TS56-08排水量,TS5603D1排水量,TS57-01排水量,TS57-02排水量,TS57-03排水量,TS57-07排水量,TS57-09排水量,TS58-01排水量,TS-010产气量,TS46-02产气量,TS46-03产气量,TS47-04产气量,TS47-05产气量,TS56-01产气量,TS56-02产气量,TS56-03产气量,TS56-04产气量,TS56-08产气量,TS5603D1产气量,TS57-01产气量,TS57-02产气量,TS57-03产气量,TS57-07产气量,TS57-09产气量,TS58-01产气量
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,2510.38525390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4638.85205078125,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,1925.86291503906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3812.60131835937,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1376.16674804687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2584.09716796875,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,1290.61804199218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2358.416015625,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,1609.11279296875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3113.99291992187,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,1978.02026367187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4341.04150390625,0,0,0,0,0
9,695.561767578125,0,0,0,0,0,0,0,0,0,0,800.10595703125,0,0,0,0,0,629.09521484375,0,0,0,0,0,0,0,0,0,0,1670.59191894531,0,0,0,0,0
10,354.42642211914,0,0,0,0,0,0,0,0,0,0,1623.57348632812,0,0,0,0,0,287.384674072265,0,0,0,0,0,0,0,0,0,0,3316.71166992187,0,0,0,0,0
11,542.78076171875,0,0,0,0,0,0,0,0,0,0,1421.39196777343,0,0,0,0,0,547.612243652343,0,0,0,0,0,0,0,0,0,0,2815.61889648437,0,0,0,0,0
12,433.38442993164,0,0,0,0,0,0,0,0,0,0,989.252075195312,0,0,0,0,0,418.02099609375,0,0,0,0,0,0,0,0,0,0,1916.22631835937,0,0,0,0,0
