time step,TS-010排水量,TS46-02排水量,TS46-03排水量,TS47-04排水量,TS47-05排水量,TS56-01排水量,TS56-02排水量,TS56-03排水量,TS56-04排水量,TS56-08排水量,TS5603D1排水量,TS57-01排水量,TS57-02排水量,TS57-03排水量,TS57-07排水量,TS57-09排水量,TS58-01排水量,TS-010产气量,TS46-02产气量,TS46-03产气量,TS47-04产气量,TS47-05产气量,TS56-01产气量,TS56-02产气量,TS56-03产气量,TS56-04产气量,TS56-08产气量,TS5603D1产气量,TS57-01产气量,TS57-02产气量,TS57-03产气量,TS57-07产气量,TS57-09产气量,TS58-01产气量
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,2532.91967773437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4699.62353515625,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,1926.861328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3817.63500976562,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,2056.75830078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4399.26708984375,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,1552.45385742187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3144.88940429687,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,2145.15087890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4840.62109375,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,1684.68237304687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3631.15649414062,0,0,0,0,0
9,810.469665527343,0,0,0,0,0,0,0,0,0,0,1371.18591308593,0,0,0,0,0,852.1943359375,0,0,0,0,0,0,0,0,0,0,2859.99584960937,0,0,0,0,0
10,637.452331542968,0,0,0,0,0,0,0,0,0,0,1596.09289550781,0,0,0,0,0,749.485534667968,0,0,0,0,0,0,0,0,0,0,3276.48657226562,0,0,0,0,0
11,321.98110961914,0,0,0,0,0,0,0,0,0,0,684.600036621093,0,0,0,0,0,353.396728515625,0,0,0,0,0,0,0,0,0,0,1366.49060058593,0,0,0,0,0
12,533.348022460937,0,0,0,0,0,0,0,0,0,0,1731.5986328125,0,0,0,0,0,559.993957519531,0,0,0,0,0,0,0,0,0,0,3462.26733398437,0,0,0,0,0
