time step,TS-010排水量,TS46-02排水量,TS46-03排水量,TS47-04排水量,TS47-05排水量,TS56-01排水量,TS56-02排水量,TS56-03排水量,TS56-04排水量,TS56-08排水量,TS5603D1排水量,TS57-01排水量,TS57-02排水量,TS57-03排水量,TS57-07排水量,TS57-09排水量,TS58-01排水量,TS-010产气量,TS46-02产气量,TS46-03产气量,TS47-04产气量,TS47-05产气量,TS56-01产气量,TS56-02产气量,TS56-03产气量,TS56-04产气量,TS56-08产气量,TS5603D1产气量,TS57-01产气量,TS57-02产气量,TS57-03产气量,TS57-07产气量,TS57-09产气量,TS58-01产气量
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1180.74401855468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1555.14697265625,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,1735.71130371093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3119.61059570312,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,2700.60375976562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6295.29833984375,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,1231.60290527343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2610.2724609375,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,1359.12878417968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2745.58422851562,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,1969.63537597656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4028.68432617187,0,0,0,0,0
9,1276.07043457031,0,0,0,0,0,0,0,0,0,0,1465.91723632812,0,0,0,0,0,1977.06823730468,0,0,0,0,0,0,0,0,0,0,2930.5263671875,0,0,0,0,0
10,791.905822753906,0,0,0,0,0,0,0,0,0,0,900.007446289062,0,0,0,0,0,1158.18151855468,0,0,0,0,0,0,0,0,0,0,1766.82775878906,0,0,0,0,0
11,812.126831054687,0,0,0,0,0,0,0,0,0,0,1107.447265625,0,0,0,0,0,1256.12951660156,0,0,0,0,0,0,0,0,0,0,2159.8017578125,0,0,0,0,0
12,291.17788696289,0,0,0,0,0,0,0,0,0,0,1731.56323242187,0,0,0,0,0,437.4423828125,0,0,0,0,0,0,0,0,0,0,3386.158203125,0,0,0,0,0
