time step,TS-010排水量,TS46-02排水量,TS46-03排水量,TS47-04排水量,TS47-05排水量,TS56-01排水量,TS56-02排水量,TS56-03排水量,TS56-04排水量,TS56-08排水量,TS5603D1排水量,TS57-01排水量,TS57-02排水量,TS57-03排水量,TS57-07排水量,TS57-09排水量,TS58-01排水量,TS-010产气量,TS46-02产气量,TS46-03产气量,TS47-04产气量,TS47-05产气量,TS56-01产气量,TS56-02产气量,TS56-03产气量,TS56-04产气量,TS56-08产气量,TS5603D1产气量,TS57-01产气量,TS57-02产气量,TS57-03产气量,TS57-07产气量,TS57-09产气量,TS58-01产气量
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1265.58825683593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1722.51489257812,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,2148.42626953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4208.2822265625,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,2712.65698242187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6479.17529296875,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,1309.10729980468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2837.94702148437,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,1367.880859375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2826.0859375,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,1478.01953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2938.75634765625,0,0,0,0,0
9,1524.55187988281,0,0,0,0,0,0,0,0,0,0,1731.3935546875,0,0,0,0,0,3002.42309570312,0,0,0,0,0,0,0,0,0,0,3423.8876953125,0,0,0,0,0
10,584.24072265625,0,0,0,0,0,0,0,0,0,0,1504.29028320312,0,0,0,0,0,1025.36560058593,0,0,0,0,0,0,0,0,0,0,2963.27612304687,0,0,0,0,0
11,453.539520263671,0,0,0,0,0,0,0,0,0,0,1560.45666503906,0,0,0,0,0,739.343872070312,0,0,0,0,0,0,0,0,0,0,3105.67236328125,0,0,0,0,0
12,349.400848388671,0,0,0,0,0,0,0,0,0,0,1471.24829101562,0,0,0,0,0,539.357299804687,0,0,0,0,0,0,0,0,0,0,2932.21948242187,0,0,0,0,0
