time step,TS-010排水量,TS46-02排水量,TS46-03排水量,TS47-04排水量,TS47-05排水量,TS56-01排水量,TS56-02排水量,TS56-03排水量,TS56-04排水量,TS56-08排水量,TS5603D1排水量,TS57-01排水量,TS57-02排水量,TS57-03排水量,TS57-07排水量,TS57-09排水量,TS58-01排水量,TS-010产气量,TS46-02产气量,TS46-03产气量,TS47-04产气量,TS47-05产气量,TS56-01产气量,TS56-02产气量,TS56-03产气量,TS56-04产气量,TS56-08产气量,TS5603D1产气量,TS57-01产气量,TS57-02产气量,TS57-03产气量,TS57-07产气量,TS57-09产气量,TS58-01产气量
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,2364.07739257812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4258.5849609375,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,892.036560058593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1498.79760742187,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1440.2119140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2432.09375,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,1631.181640625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3086.46850585937,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,817.2431640625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1516.44201660156,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,2001.19750976562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4142.95703125,0,0,0,0,0
9,807.349975585937,0,0,0,0,0,0,0,0,0,0,1451.07055664062,0,0,0,0,0,845.766357421875,0,0,0,0,0,0,0,0,0,0,2883.0859375,0,0,0,0,0
10,780.19873046875,0,0,0,0,0,0,0,0,0,0,1607.45031738281,0,0,0,0,0,1061.91149902343,0,0,0,0,0,0,0,0,0,0,3264.44409179687,0,0,0,0,0
11,403.798553466796,0,0,0,0,0,0,0,0,0,0,1144.44006347656,0,0,0,0,0,504.522033691406,0,0,0,0,0,0,0,0,0,0,2269.05786132812,0,0,0,0,0
12,463.94091796875,0,0,0,0,0,0,0,0,0,0,1701.45251464843,0,0,0,0,0,541.816162109375,0,0,0,0,0,0,0,0,0,0,3532.8876953125,0,0,0,0,0
