time step,TS-010排水量,TS46-02排水量,TS46-03排水量,TS47-04排水量,TS47-05排水量,TS56-01排水量,TS56-02排水量,TS56-03排水量,TS56-04排水量,TS56-08排水量,TS5603D1排水量,TS57-01排水量,TS57-02排水量,TS57-03排水量,TS57-07排水量,TS57-09排水量,TS58-01排水量,TS-010产气量,TS46-02产气量,TS46-03产气量,TS47-04产气量,TS47-05产气量,TS56-01产气量,TS56-02产气量,TS56-03产气量,TS56-04产气量,TS56-08产气量,TS5603D1产气量,TS57-01产气量,TS57-02产气量,TS57-03产气量,TS57-07产气量,TS57-09产气量,TS58-01产气量
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1911.89147949218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3139.59741210937,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,1376.54931640625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2347.7841796875,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,2227.28393554687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4744.98095703125,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,753.910888671875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1526.45837402343,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,1918.98657226562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3820.54516601562,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,891.693664550781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1713.34533691406,0,0,0,0,0
9,1564.49731445312,0,0,0,0,0,0,0,0,0,0,918.675109863281,0,0,0,0,0,3136.18041992187,0,0,0,0,0,0,0,0,0,0,1747.07739257812,0,0,0,0,0
10,700.781677246093,0,0,0,0,0,0,0,0,0,0,862.398742675781,0,0,0,0,0,1240.6552734375,0,0,0,0,0,0,0,0,0,0,1613.08923339843,0,0,0,0,0
11,518.628234863281,0,0,0,0,0,0,0,0,0,0,667.197631835937,0,0,0,0,0,850.764709472656,0,0,0,0,0,0,0,0,0,0,1236.23657226562,0,0,0,0,0
12,754.160278320312,0,0,0,0,0,0,0,0,0,0,1585.74084472656,0,0,0,0,0,1151.25634765625,0,0,0,0,0,0,0,0,0,0,2828.79418945312,0,0,0,0,0
