time step,TS-010排水量,TS46-02排水量,TS46-03排水量,TS47-04排水量,TS47-05排水量,TS56-01排水量,TS56-02排水量,TS56-03排水量,TS56-04排水量,TS56-08排水量,TS5603D1排水量,TS57-01排水量,TS57-02排水量,TS57-03排水量,TS57-07排水量,TS57-09排水量,TS58-01排水量,TS-010产气量,TS46-02产气量,TS46-03产气量,TS47-04产气量,TS47-05产气量,TS56-01产气量,TS56-02产气量,TS56-03产气量,TS56-04产气量,TS56-08产气量,TS5603D1产气量,TS57-01产气量,TS57-02产气量,TS57-03产气量,TS57-07产气量,TS57-09产气量,TS58-01产气量
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,2480.43139648437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4560.12841796875,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,959.147216796875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1640.94067382812,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1178.74243164062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1940.93676757812,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,1122.17443847656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1829.39245605468,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,1494.04846191406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2700.57763671875,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,1657.13012695312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3302.654296875,0,0,0,0,0
9,602.655639648437,0,0,0,0,0,0,0,0,0,0,1635.87878417968,0,0,0,0,0,469.920837402343,0,0,0,0,0,0,0,0,0,0,3373.30053710937,0,0,0,0,0
10,357.35400390625,0,0,0,0,0,0,0,0,0,0,1607.47998046875,0,0,0,0,0,254.932708740234,0,0,0,0,0,0,0,0,0,0,3361.33471679687,0,0,0,0,0
11,504.597595214843,0,0,0,0,0,0,0,0,0,0,933.895446777343,0,0,0,0,0,485.589904785156,0,0,0,0,0,0,0,0,0,0,1893.58557128906,0,0,0,0,0
12,380.238861083984,0,0,0,0,0,0,0,0,0,0,780.767211914062,0,0,0,0,0,344.376220703125,0,0,0,0,0,0,0,0,0,0,1565.7099609375,0,0,0,0,0
