time step,TS-010排水量,TS46-02排水量,TS46-03排水量,TS47-04排水量,TS47-05排水量,TS56-01排水量,TS56-02排水量,TS56-03排水量,TS56-04排水量,TS56-08排水量,TS5603D1排水量,TS57-01排水量,TS57-02排水量,TS57-03排水量,TS57-07排水量,TS57-09排水量,TS58-01排水量,TS-010产气量,TS46-02产气量,TS46-03产气量,TS47-04产气量,TS47-05产气量,TS56-01产气量,TS56-02产气量,TS56-03产气量,TS56-04产气量,TS56-08产气量,TS5603D1产气量,TS57-01产气量,TS57-02产气量,TS57-03产气量,TS57-07产气量,TS57-09产气量,TS58-01产气量
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1263.18286132812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1717.68444824218,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,1702.26013183593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3049.65014648437,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,2012.7900390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4155.23681640625,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,1801.43627929687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3765.22802734375,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,2084.31640625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4731.06689453125,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,1844.708984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4098.193359375,0,0,0,0,0
9,665.358764648437,0,0,0,0,0,0,0,0,0,0,1827.86364746093,0,0,0,0,0,575.203735351562,0,0,0,0,0,0,0,0,0,0,4076.89379882812,0,0,0,0,0
10,750.8310546875,0,0,0,0,0,0,0,0,0,0,1420.74340820312,0,0,0,0,0,963.068786621093,0,0,0,0,0,0,0,0,0,0,3053.82153320312,0,0,0,0,0
11,467.846282958984,0,0,0,0,0,0,0,0,0,0,861.198059082031,0,0,0,0,0,544.074401855468,0,0,0,0,0,0,0,0,0,0,1799.86657714843,0,0,0,0,0
12,493.475952148437,0,0,0,0,0,0,0,0,0,0,721.142272949218,0,0,0,0,0,546.771057128906,0,0,0,0,0,0,0,0,0,0,1492.85083007812,0,0,0,0,0
