time step,TS-010排水量,TS46-02排水量,TS46-03排水量,TS47-04排水量,TS47-05排水量,TS56-01排水量,TS56-02排水量,TS56-03排水量,TS56-04排水量,TS56-08排水量,TS5603D1排水量,TS57-01排水量,TS57-02排水量,TS57-03排水量,TS57-07排水量,TS57-09排水量,TS58-01排水量,TS-010产气量,TS46-02产气量,TS46-03产气量,TS47-04产气量,TS47-05产气量,TS56-01产气量,TS56-02产气量,TS56-03产气量,TS56-04产气量,TS56-08产气量,TS5603D1产气量,TS57-01产气量,TS57-02产气量,TS57-03产气量,TS57-07产气量,TS57-09产气量,TS58-01产气量
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,887.987182617187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1027.5771484375,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,1215.28051757812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1829.32373046875,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1705.68933105468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3211.20947265625,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,675.743469238281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1231.3076171875,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,1686.3984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3175.78051757812,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,816.446044921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499.0517578125,0,0,0,0,0
9,1589.56213378906,0,0,0,0,0,0,0,0,0,0,656.263610839843,0,0,0,0,0,3224.5419921875,0,0,0,0,0,0,0,0,0,0,1191.90991210937,0,0,0,0,0
10,387.025573730468,0,0,0,0,0,0,0,0,0,0,1032.29345703125,0,0,0,0,0,715.848327636718,0,0,0,0,0,0,0,0,0,0,1801.84033203125,0,0,0,0,0
11,520.301574707031,0,0,0,0,0,0,0,0,0,0,1779.93298339843,0,0,0,0,0,891.746887207031,0,0,0,0,0,0,0,0,0,0,3427.60595703125,0,0,0,0,0
12,396.443420410156,0,0,0,0,0,0,0,0,0,0,832.797912597656,0,0,0,0,0,631.935119628906,0,0,0,0,0,0,0,0,0,0,1555.87780761718,0,0,0,0,0
