time step,TS-010排水量,TS46-02排水量,TS46-03排水量,TS47-04排水量,TS47-05排水量,TS56-01排水量,TS56-02排水量,TS56-03排水量,TS56-04排水量,TS56-08排水量,TS5603D1排水量,TS57-01排水量,TS57-02排水量,TS57-03排水量,TS57-07排水量,TS57-09排水量,TS58-01排水量,TS-010产气量,TS46-02产气量,TS46-03产气量,TS47-04产气量,TS47-05产气量,TS56-01产气量,TS56-02产气量,TS56-03产气量,TS56-04产气量,TS56-08产气量,TS5603D1产气量,TS57-01产气量,TS57-02产气量,TS57-03产气量,TS57-07产气量,TS57-09产气量,TS58-01产气量
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1142.50427246093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1481.77221679687,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,1836.17370605468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3362.67358398437,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1071.76049804687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1858.13647460937,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,1390.21240234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2481.130859375,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,1448.86169433593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730.71337890625,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,1839.47998046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3907.48217773437,0,0,0,0,0
9,902.442626953125,0,0,0,0,0,0,0,0,0,0,1674.43872070312,0,0,0,0,0,1050.57434082031,0,0,0,0,0,0,0,0,0,0,3555.42846679687,0,0,0,0,0
10,768.416015625,0,0,0,0,0,0,0,0,0,0,1230.28479003906,0,0,0,0,0,1050.73510742187,0,0,0,0,0,0,0,0,0,0,2515.96533203125,0,0,0,0,0
11,283.031616210937,0,0,0,0,0,0,0,0,0,0,1586.91027832031,0,0,0,0,0,363.244049072265,0,0,0,0,0,0,0,0,0,0,3246.58520507812,0,0,0,0,0
12,306.961608886718,0,0,0,0,0,0,0,0,0,0,1591.90441894531,0,0,0,0,0,379.040618896484,0,0,0,0,0,0,0,0,0,0,3341.28051757812,0,0,0,0,0
