time step,TS-010排水量,TS46-02排水量,TS46-03排水量,TS47-04排水量,TS47-05排水量,TS56-01排水量,TS56-02排水量,TS56-03排水量,TS56-04排水量,TS56-08排水量,TS5603D1排水量,TS57-01排水量,TS57-02排水量,TS57-03排水量,TS57-07排水量,TS57-09排水量,TS58-01排水量,TS-010产气量,TS46-02产气量,TS46-03产气量,TS47-04产气量,TS47-05产气量,TS56-01产气量,TS56-02产气量,TS56-03产气量,TS56-04产气量,TS56-08产气量,TS5603D1产气量,TS57-01产气量,TS57-02产气量,TS57-03产气量,TS57-07产气量,TS57-09产气量,TS58-01产气量
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1328.38403320312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850.35583496093,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,1671.7333984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2983.72583007812,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1376.40209960937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2471.37109375,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,1127.94140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1967.67358398437,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,1875.8486328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3871.314453125,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,1443.41455078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2858.49975585937,0,0,0,0,0
9,1062.69262695312,0,0,0,0,0,0,0,0,0,0,772.4111328125,0,0,0,0,0,1435.70288085937,0,0,0,0,0,0,0,0,0,0,1500.54650878906,0,0,0,0,0
10,546.109558105468,0,0,0,0,0,0,0,0,0,0,1608.71655273437,0,0,0,0,0,655.697326660156,0,0,0,0,0,0,0,0,0,0,3135.42626953125,0,0,0,0,0
11,595.66357421875,0,0,0,0,0,0,0,0,0,0,1467.68640136718,0,0,0,0,0,695.351013183593,0,0,0,0,0,0,0,0,0,0,2900.49877929687,0,0,0,0,0
12,800.600830078125,0,0,0,0,0,0,0,0,0,0,856.558837890625,0,0,0,0,0,1183.99328613281,0,0,0,0,0,0,0,0,0,0,1656.31567382812,0,0,0,0,0
