time step,TS-010排水量,TS46-02排水量,TS46-03排水量,TS47-04排水量,TS47-05排水量,TS56-01排水量,TS56-02排水量,TS56-03排水量,TS56-04排水量,TS56-08排水量,TS5603D1排水量,TS57-01排水量,TS57-02排水量,TS57-03排水量,TS57-07排水量,TS57-09排水量,TS58-01排水量,TS-010产气量,TS46-02产气量,TS46-03产气量,TS47-04产气量,TS47-05产气量,TS56-01产气量,TS56-02产气量,TS56-03产气量,TS56-04产气量,TS56-08产气量,TS5603D1产气量,TS57-01产气量,TS57-02产气量,TS57-03产气量,TS57-07产气量,TS57-09产气量,TS58-01产气量
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1285.84704589843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1763.39428710937,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,1197.87292480468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1890.76672363281,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1984.37219238281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3946.68090820312,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,1092.87658691406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2053.65087890625,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,967.4599609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756.89501953125,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,714.183349609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1271.52697753906,0,0,0,0,0
9,782.486328125,0,0,0,0,0,0,0,0,0,0,1823.99108886718,0,0,0,0,0,795.271606445312,0,0,0,0,0,0,0,0,0,0,3486.701171875,0,0,0,0,0
10,383.651275634765,0,0,0,0,0,0,0,0,0,0,1890.56616210937,0,0,0,0,0,347.198181152343,0,0,0,0,0,0,0,0,0,0,4008.71630859375,0,0,0,0,0
11,523.54443359375,0,0,0,0,0,0,0,0,0,0,1367.69836425781,0,0,0,0,0,519.034240722656,0,0,0,0,0,0,0,0,0,0,2780.91796875,0,0,0,0,0
12,274.541046142578,0,0,0,0,0,0,0,0,0,0,1665.71569824218,0,0,0,0,0,260.693298339843,0,0,0,0,0,0,0,0,0,0,3457.58032226562,0,0,0,0,0
