time step,TS-010排水量,TS46-02排水量,TS46-03排水量,TS47-04排水量,TS47-05排水量,TS56-01排水量,TS56-02排水量,TS56-03排水量,TS56-04排水量,TS56-08排水量,TS5603D1排水量,TS57-01排水量,TS57-02排水量,TS57-03排水量,TS57-07排水量,TS57-09排水量,TS58-01排水量,TS-010产气量,TS46-02产气量,TS46-03产气量,TS47-04产气量,TS47-05产气量,TS56-01产气量,TS56-02产气量,TS56-03产气量,TS56-04产气量,TS56-08产气量,TS5603D1产气量,TS57-01产气量,TS57-02产气量,TS57-03产气量,TS57-07产气量,TS57-09产气量,TS58-01产气量
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1200.16125488281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1592.89782714843,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,1908.19519042968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3554.95288085937,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1307.94323730468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2334.01245117187,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,1134.85864257812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1973.85388183593,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,1128.26342773437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1944.58630371093,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,1405.78442382812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2631.66528320312,0,0,0,0,0
9,1370.21154785156,0,0,0,0,0,0,0,0,0,0,1620.982421875,0,0,0,0,0,2508.76440429687,0,0,0,0,0,0,0,0,0,0,3327.990234375,0,0,0,0,0
10,322.326599121093,0,0,0,0,0,0,0,0,0,0,860.570190429687,0,0,0,0,0,539.743713378906,0,0,0,0,0,0,0,0,0,0,1702.69567871093,0,0,0,0,0
11,343.993743896484,0,0,0,0,0,0,0,0,0,0,1094.23425292968,0,0,0,0,0,546.370239257812,0,0,0,0,0,0,0,0,0,0,2118.34497070312,0,0,0,0,0
12,796.138427734375,0,0,0,0,0,0,0,0,0,0,736.623107910156,0,0,0,0,0,1127.00280761718,0,0,0,0,0,0,0,0,0,0,1406.46557617187,0,0,0,0,0
