time step,TS-010排水量,TS46-02排水量,TS46-03排水量,TS47-04排水量,TS47-05排水量,TS56-01排水量,TS56-02排水量,TS56-03排水量,TS56-04排水量,TS56-08排水量,TS5603D1排水量,TS57-01排水量,TS57-02排水量,TS57-03排水量,TS57-07排水量,TS57-09排水量,TS58-01排水量,TS-010产气量,TS46-02产气量,TS46-03产气量,TS47-04产气量,TS47-05产气量,TS56-01产气量,TS56-02产气量,TS56-03产气量,TS56-04产气量,TS56-08产气量,TS5603D1产气量,TS57-01产气量,TS57-02产气量,TS57-03产气量,TS57-07产气量,TS57-09产气量,TS58-01产气量
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,944.544555664062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123.2138671875,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,1037.07800292968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1512.43225097656,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1883.38708496093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3607.85766601562,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,1892.13391113281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3949.75415039062,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,781.740661621093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1568.31848144531,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,1441.69274902343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2753.58178710937,0,0,0,0,0
9,550.444030761718,0,0,0,0,0,0,0,0,0,0,763.106079101562,0,0,0,0,0,389.231048583984,0,0,0,0,0,0,0,0,0,0,1426.88513183593,0,0,0,0,0
10,379.800384521484,0,0,0,0,0,0,0,0,0,0,1747.63562011718,0,0,0,0,0,273.863616943359,0,0,0,0,0,0,0,0,0,0,3361.45385742187,0,0,0,0,0
11,653.224243164062,0,0,0,0,0,0,0,0,0,0,647.996276855468,0,0,0,0,0,769.658508300781,0,0,0,0,0,0,0,0,0,0,1222.2255859375,0,0,0,0,0
12,384.6650390625,0,0,0,0,0,0,0,0,0,0,1167.39025878906,0,0,0,0,0,417.411865234375,0,0,0,0,0,0,0,0,0,0,2167.78930664062,0,0,0,0,0
