time step,TS-010排水量,TS46-02排水量,TS46-03排水量,TS47-04排水量,TS47-05排水量,TS56-01排水量,TS56-02排水量,TS56-03排水量,TS56-04排水量,TS56-08排水量,TS5603D1排水量,TS57-01排水量,TS57-02排水量,TS57-03排水量,TS57-07排水量,TS57-09排水量,TS58-01排水量,TS-010产气量,TS46-02产气量,TS46-03产气量,TS47-04产气量,TS47-05产气量,TS56-01产气量,TS56-02产气量,TS56-03产气量,TS56-04产气量,TS56-08产气量,TS5603D1产气量,TS57-01产气量,TS57-02产气量,TS57-03产气量,TS57-07产气量,TS57-09产气量,TS58-01产气量
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1439.31616210937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2084.19506835937,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,2313.16186523437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4715.1982421875,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1811.24914550781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3682.80004882812,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,665.991271972656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1319.12561035156,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,1964.41979980468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3939.73413085937,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,1093.3515625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099.10205078125,0,0,0,0,0
9,698.701599121093,0,0,0,0,0,0,0,0,0,0,1086.8994140625,0,0,0,0,0,634.813415527343,0,0,0,0,0,0,0,0,0,0,2039.8671875,0,0,0,0,0
10,356.324096679687,0,0,0,0,0,0,0,0,0,0,1482.43371582031,0,0,0,0,0,290.229339599609,0,0,0,0,0,0,0,0,0,0,2749.14038085937,0,0,0,0,0
11,798.662963867187,0,0,0,0,0,0,0,0,0,0,637.290954589843,0,0,0,0,0,1082.37255859375,0,0,0,0,0,0,0,0,0,0,1167.1044921875,0,0,0,0,0
12,511.089599609375,0,0,0,0,0,0,0,0,0,0,937.872802734375,0,0,0,0,0,637.03515625,0,0,0,0,0,0,0,0,0,0,1709.83044433593,0,0,0,0,0
