time step,TS-010排水量,TS46-02排水量,TS46-03排水量,TS47-04排水量,TS47-05排水量,TS56-01排水量,TS56-02排水量,TS56-03排水量,TS56-04排水量,TS56-08排水量,TS5603D1排水量,TS57-01排水量,TS57-02排水量,TS57-03排水量,TS57-07排水量,TS57-09排水量,TS58-01排水量,TS-010产气量,TS46-02产气量,TS46-03产气量,TS47-04产气量,TS47-05产气量,TS56-01产气量,TS56-02产气量,TS56-03产气量,TS56-04产气量,TS56-08产气量,TS5603D1产气量,TS57-01产气量,TS57-02产气量,TS57-03产气量,TS57-07产气量,TS57-09产气量,TS58-01产气量
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,2558.2021484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4768.89990234375,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,2261.6162109375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4793.4384765625,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,2486.7958984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5849.84228515625,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,1467.70178222656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3185.25390625,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,1456.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3030.30346679687,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,1830.43017578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3758.53247070312,0,0,0,0,0
9,893.25732421875,0,0,0,0,0,0,0,0,0,0,1248.16760253906,0,0,0,0,0,1029.99169921875,0,0,0,0,0,0,0,0,0,0,2496.02124023437,0,0,0,0,0
10,557.813415527343,0,0,0,0,0,0,0,0,0,0,1534.33435058593,0,0,0,0,0,604.520568847656,0,0,0,0,0,0,0,0,0,0,3036.126953125,0,0,0,0,0
11,365.072814941406,0,0,0,0,0,0,0,0,0,0,1127.68835449218,0,0,0,0,0,372.132263183593,0,0,0,0,0,0,0,0,0,0,2189.40991210937,0,0,0,0,0
12,347.339416503906,0,0,0,0,0,0,0,0,0,0,1329.54028320312,0,0,0,0,0,337.852478027343,0,0,0,0,0,0,0,0,0,0,2559.55493164062,0,0,0,0,0
