time step,TS-010排水量,TS46-02排水量,TS46-03排水量,TS47-04排水量,TS47-05排水量,TS56-01排水量,TS56-02排水量,TS56-03排水量,TS56-04排水量,TS56-08排水量,TS5603D1排水量,TS57-01排水量,TS57-02排水量,TS57-03排水量,TS57-07排水量,TS57-09排水量,TS58-01排水量,TS-010产气量,TS46-02产气量,TS46-03产气量,TS47-04产气量,TS47-05产气量,TS56-01产气量,TS56-02产气量,TS56-03产气量,TS56-04产气量,TS56-08产气量,TS5603D1产气量,TS57-01产气量,TS57-02产气量,TS57-03产气量,TS57-07产气量,TS57-09产气量,TS58-01产气量
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1162.91552734375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520.77697753906,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,2306.88940429687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4631.75634765625,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1642.90686035156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3203.4326171875,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,780.289672851562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1487.06774902343,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,2096.51147460937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4361.623046875,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,877.426452636718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1735.76977539062,0,0,0,0,0
9,700.576538085937,0,0,0,0,0,0,0,0,0,0,962.759643554687,0,0,0,0,0,638.238830566406,0,0,0,0,0,0,0,0,0,0,1867.67004394531,0,0,0,0,0
10,311.026000976562,0,0,0,0,0,0,0,0,0,0,725.052673339843,0,0,0,0,0,252.29441833496,0,0,0,0,0,0,0,0,0,0,1389.03430175781,0,0,0,0,0
11,803.787170410156,0,0,0,0,0,0,0,0,0,0,798.387329101562,0,0,0,0,0,1072.61547851562,0,0,0,0,0,0,0,0,0,0,1501.07336425781,0,0,0,0,0
12,754.841735839843,0,0,0,0,0,0,0,0,0,0,1187.71899414062,0,0,0,0,0,1106.0751953125,0,0,0,0,0,0,0,0,0,0,2151.6220703125,0,0,0,0,0
