time step,TS-010排水量,TS46-02排水量,TS46-03排水量,TS47-04排水量,TS47-05排水量,TS56-01排水量,TS56-02排水量,TS56-03排水量,TS56-04排水量,TS56-08排水量,TS5603D1排水量,TS57-01排水量,TS57-02排水量,TS57-03排水量,TS57-07排水量,TS57-09排水量,TS58-01排水量,TS-010产气量,TS46-02产气量,TS46-03产气量,TS47-04产气量,TS47-05产气量,TS56-01产气量,TS56-02产气量,TS56-03产气量,TS56-04产气量,TS56-08产气量,TS5603D1产气量,TS57-01产气量,TS57-02产气量,TS57-03产气量,TS57-07产气量,TS57-09产气量,TS58-01产气量
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,905.022033691406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1056.05419921875,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,912.590026855468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260.15026855468,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,2274.45043945312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4659.05224609375,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,915.088806152343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1762.05786132812,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,1627.38037109375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3043.92822265625,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,1967.88659667968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4216.4169921875,0,0,0,0,0
9,1275.45080566406,0,0,0,0,0,0,0,0,0,0,1448.57751464843,0,0,0,0,0,1975.29296875,0,0,0,0,0,0,0,0,0,0,2956.7607421875,0,0,0,0,0
10,804.253295898437,0,0,0,0,0,0,0,0,0,0,988.016174316406,0,0,0,0,0,1187.30725097656,0,0,0,0,0,0,0,0,0,0,1961.50598144531,0,0,0,0,0
11,310.235260009765,0,0,0,0,0,0,0,0,0,0,754.270629882812,0,0,0,0,0,438.576171875,0,0,0,0,0,0,0,0,0,0,1483.25268554687,0,0,0,0,0
12,417.418029785156,0,0,0,0,0,0,0,0,0,0,1513.89428710937,0,0,0,0,0,570.541687011718,0,0,0,0,0,0,0,0,0,0,2910.4375,0,0,0,0,0
