time step,TS-010排水量,TS46-02排水量,TS46-03排水量,TS47-04排水量,TS47-05排水量,TS56-01排水量,TS56-02排水量,TS56-03排水量,TS56-04排水量,TS56-08排水量,TS5603D1排水量,TS57-01排水量,TS57-02排水量,TS57-03排水量,TS57-07排水量,TS57-09排水量,TS58-01排水量,TS-010产气量,TS46-02产气量,TS46-03产气量,TS47-04产气量,TS47-05产气量,TS56-01产气量,TS56-02产气量,TS56-03产气量,TS56-04产气量,TS56-08产气量,TS5603D1产气量,TS57-01产气量,TS57-02产气量,TS57-03产气量,TS57-07产气量,TS57-09产气量,TS58-01产气量
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1580.58776855468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2392.88330078125,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,1837.908203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3429.29052734375,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,983.190490722656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1746.6279296875,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,842.584899902343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1443.68859863281,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,2086.07275390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4213.59130859375,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,820.410034179687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1592.58752441406,0,0,0,0,0
9,1548.70690917968,0,0,0,0,0,0,0,0,0,0,1945.25659179687,0,0,0,0,0,3082.46899414062,0,0,0,0,0,0,0,0,0,0,4052.904296875,0,0,0,0,0
10,502.065734863281,0,0,0,0,0,0,0,0,0,0,1970.59997558593,0,0,0,0,0,899.064758300781,0,0,0,0,0,0,0,0,0,0,4375.88330078125,0,0,0,0,0
11,722.122314453125,0,0,0,0,0,0,0,0,0,0,1393.48071289062,0,0,0,0,0,1167.98657226562,0,0,0,0,0,0,0,0,0,0,2957.1513671875,0,0,0,0,0
12,314.235870361328,0,0,0,0,0,0,0,0,0,0,1161.57482910156,0,0,0,0,0,480.403137207031,0,0,0,0,0,0,0,0,0,0,2398.74438476562,0,0,0,0,0
