time step,TS-010排水量,TS46-02排水量,TS46-03排水量,TS47-04排水量,TS47-05排水量,TS56-01排水量,TS56-02排水量,TS56-03排水量,TS56-04排水量,TS56-08排水量,TS5603D1排水量,TS57-01排水量,TS57-02排水量,TS57-03排水量,TS57-07排水量,TS57-09排水量,TS58-01排水量,TS-010产气量,TS46-02产气量,TS46-03产气量,TS47-04产气量,TS47-05产气量,TS56-01产气量,TS56-02产气量,TS56-03产气量,TS56-04产气量,TS56-08产气量,TS5603D1产气量,TS57-01产气量,TS57-02产气量,TS57-03产气量,TS57-07产气量,TS57-09产气量,TS58-01产气量
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1534.39575195312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2292.50415039062,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,882.121459960937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260.57336425781,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1089.40393066406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1712.18786621093,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,723.1591796875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1106.8583984375,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,1624.06860351562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2990.39184570312,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,1828.29504394531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3800.86376953125,0,0,0,0,0
9,1446.21691894531,0,0,0,0,0,0,0,0,0,0,1284.41394042968,0,0,0,0,0,2456.07958984375,0,0,0,0,0,0,0,0,0,0,2538.07543945312,0,0,0,0,0
10,462.04638671875,0,0,0,0,0,0,0,0,0,0,1701.78125,0,0,0,0,0,698.326232910156,0,0,0,0,0,0,0,0,0,0,3542.072265625,0,0,0,0,0
11,278.482177734375,0,0,0,0,0,0,0,0,0,0,1159.79125976562,0,0,0,0,0,396.215240478515,0,0,0,0,0,0,0,0,0,0,2329.9208984375,0,0,0,0,0
12,540.656066894531,0,0,0,0,0,0,0,0,0,0,712.823791503906,0,0,0,0,0,709.039184570312,0,0,0,0,0,0,0,0,0,0,1409.92077636718,0,0,0,0,0
